dataset,size,proxy,self,concat,concat.smoothed,sepDec.smoothed,datasetEmbeds.smoothed
UD_Afrikaans-AfriBooms,af_afribooms,{\small \cite{dirix-etal-2017-universal}},---,33894,97.92,97.58,97.76,97.94,97.53
UD_Assyrian-AS,aii_as,{\small \cite{ud_assyrian_as_2019}},et\_ewt,0,14.72,30.54,29.58,24.36,30.68
UD_South_Levantine_Arabic-MADAR,ajp_madar,{\small \cite{Madar}},ar\_padt,0,55.77,56.61,57.16,57.29,56.49
UD_Akkadian-PISANDUB,akk_pisandub,{\small \cite{ud_akkadian_pisandub_2018}},et\_edt,0,28.49,19.31,14.96,24.98,17.73
UD_Akkadian-RIAO,akk_riao,{\small \cite{luukko-etal-2020-akkadian}},et\_edt,0,34.39,33.69,32.18,40.81,35.58
UD_Amharic-ATT,am_att,{\small \cite{seyoum-etal-2018-universal}},et\_ewt,0,14.34,4.24,6.23,6.57,5.09
UD_Apurina-UFPA,apu_ufpa,{\small \cite{freitas2017posse}},fi\_ftb,0,47.12,45.83,44.95,45.25,41.91
UD_Akuntsu-TuDeT,aqz_tudet,{\small \cite{aragon2018variaccoes}},cs\_pdt,0,25.58,18.45,18.03,19.29,23.06
UD_Arabic-PADT,ar_padt,{\small \cite{UD_Arabic-PADT}},---,254400,74.46,74.28,74.16,74.28,74.23
UD_Arabic-PUD,ar_pud,{\small \cite{mcdonald-etal-2013-universal}},ar\_padt,0,77.90,78.78,78.02,77.85,78.63
UD_Belarusian-HSE,be_hse,{\small \cite{ud_belarusian_hse_2017}},---,249897,98.22,98.15,97.94,97.98,98.19
UD_Bulgarian-BTB,bg_btb,{\small \cite{SimOsSimKo2005}},---,124336,99.25,99.13,99.16,99.14,99.15
UD_Bhojpuri-BHTB,bho_bhtb,{\small \cite{ojha-zeman-2020-universal}},hi\_hdtb,0,60.64,61.06,61.11,61.58,61.19
UD_Bambara-CRB,bm_crb,{\small \cite{aplonova_2018}},qhe\_hiencs,0,36.05,30.50,32.18,31.29,30.93
UD_Breton-KEB,br_keb,{\small \cite{tyers-ravishankar-2018-prototype}},fr\_gsd,0,73.36,53.43,53.51,57.56,54.40
UD_Buryat-BDT,bxr_bdt,{\small \cite{badmaeva:2017}},---,153,36.94,59.30,63.14,60.37,59.29
UD_Catalan-AnCora,ca_ancora,{\small \cite{alonso2016universal}},---,418494,98.74,98.69,98.68,98.65,98.68
UD_Chukchi-HSE,ckt_hse,\resizebox{4cm}{!}{\cite{tyers-mishchenkova-2020-dependency}},ru\_syntagrus,0,0.00,0.00,0.00,0.00,0.00
UD_Coptic-Scriptorium,cop_scriptorium,{\small \cite{zeldes-abrams-2018-coptic}},---,35266,9.07,9.55,9.67,9.62,9.54
UD_Czech-CAC,cs_cac,{\small \cite{hladka2008czech}},---,474687,98.77,98.77,98.69,98.70,98.82
UD_Czech-CLTT,cs_cltt,{\small \cite{krivz2016czech}},---,27770,98.33,99.07,99.26,99.14,99.05
UD_Czech-FicTree,cs_fictree,{\small \cite{jelinek2017fictree}},---,134389,98.20,97.87,97.95,98.24,98.05
UD_Czech-PDT,cs_pdt,{\small \cite{bejvcek2013prague}},---,1177406,99.01,98.89,98.50,98.73,98.92
UD_Czech-PUD,cs_pud,{\small \cite{mcdonald-etal-2013-universal}},cs\_pdt,0,97.21,97.43,97.25,97.35,97.45
UD_Old_Church_Slavonic-PROIEL,cu_proiel,{\small \cite{haug2008creating}},---,37432,83.33,83.38,83.81,83.66,83.20
UD_Welsh-CCG,cy_ccg,{\small \cite{heinecke-tyers-2019-development}},---,16082,91.56,90.52,91.75,91.61,90.58
UD_Danish-DDT,da_ddt,{\small \cite{johannsen2015universal}},---,80378,97.88,97.56,97.57,97.71,97.60
UD_German-GSD,de_gsd,{\small \cite{brants2004tiger}},---,268414,92.92,90.76,92.07,92.77,90.92
UD_German-HDT,de_hdt,{\small \cite{borges-volker-etal-2019-hdt}},---,2753627,98.52,98.40,94.05,98.21,98.40
UD_German-LIT,de_lit,{\small \cite{LIT}},de\_hdt,0,93.26,92.84,92.55,93.20,93.10
