dataset,size,proxy,self,concat,concat.smoothed,sepDec.smoothed,datasetEmbeds.smoothed
UD_Afrikaans-AfriBooms,af_afribooms,{\small \cite{dirix-etal-2017-universal}},---,33894,86.67,85.85,86.59,87.02,85.89
UD_Assyrian-AS,aii_as,{\small \cite{ud_assyrian_as_2019}},et\_ewt,0,9.71,3.53,3.90,5.15,3.38
UD_South_Levantine_Arabic-MADAR,ajp_madar,{\small \cite{Madar}},ar\_padt,0,31.18,33.80,33.08,33.16,31.22
UD_Akkadian-PISANDUB,akk_pisandub,{\small \cite{ud_akkadian_pisandub_2018}},et\_edt,0,3.02,4.28,4.72,3.60,3.31
UD_Akkadian-RIAO,akk_riao,{\small \cite{luukko-etal-2020-akkadian}},et\_edt,0,4.02,8.18,7.58,7.32,8.07
UD_Amharic-ATT,am_att,{\small \cite{seyoum-etal-2018-universal}},et\_ewt,0,1.84,0.83,0.78,0.53,0.75
UD_Apurina-UFPA,apu_ufpa,{\small \cite{freitas2017posse}},fi\_ftb,0,6.15,13.29,13.11,8.14,13.41
UD_Akuntsu-TuDeT,aqz_tudet,{\small \cite{aragon2018variaccoes}},cs\_pdt,0,6.71,9.64,9.65,9.22,14.67
UD_Arabic-PADT,ar_padt,{\small \cite{UD_Arabic-PADT}},---,254400,31.53,31.41,31.27,31.36,31.54
UD_Arabic-PUD,ar_pud,{\small \cite{mcdonald-etal-2013-universal}},ar\_padt,0,62.84,64.48,63.92,64.05,64.66
UD_Belarusian-HSE,be_hse,{\small \cite{ud_belarusian_hse_2017}},---,249897,80.98,83.65,83.10,81.83,83.83
UD_Bulgarian-BTB,bg_btb,{\small \cite{SimOsSimKo2005}},---,124336,92.46,92.70,92.51,92.72,92.75
UD_Bhojpuri-BHTB,bho_bhtb,{\small \cite{ojha-zeman-2020-universal}},hi\_hdtb,0,37.66,36.15,36.24,36.49,36.34
UD_Bambara-CRB,bm_crb,{\small \cite{aplonova_2018}},qhe\_hiencs,0,8.76,6.48,6.07,6.68,6.32
UD_Breton-KEB,br_keb,{\small \cite{tyers-ravishankar-2018-prototype}},fr\_gsd,0,54.95,31.96,31.31,33.24,32.42
UD_Buryat-BDT,bxr_bdt,{\small \cite{badmaeva:2017}},---,153,11.59,23.88,29.03,21.47,23.96
UD_Catalan-AnCora,ca_ancora,{\small \cite{alonso2016universal}},---,418494,92.07,92.23,91.80,91.92,92.19
UD_Chukchi-HSE,ckt_hse,\resizebox{4cm}{!}{\cite{tyers-mishchenkova-2020-dependency}},ru\_syntagrus,0,0.00,0.00,0.00,0.00,0.00
UD_Coptic-Scriptorium,cop_scriptorium,{\small \cite{zeldes-abrams-2018-coptic}},---,35266,0.84,0.84,0.68,0.73,0.86
UD_Czech-CAC,cs_cac,{\small \cite{hladka2008czech}},---,474687,91.25,92.17,90.95,90.80,92.02
UD_Czech-CLTT,cs_cltt,{\small \cite{krivz2016czech}},---,27770,83.86,89.58,88.68,87.66,89.60
UD_Czech-FicTree,cs_fictree,{\small \cite{jelinek2017fictree}},---,134389,91.52,93.02,92.34,92.40,93.27
UD_Czech-PDT,cs_pdt,{\small \cite{bejvcek2013prague}},---,1177406,92.75,92.84,91.23,91.06,92.85
UD_Czech-PUD,cs_pud,{\small \cite{mcdonald-etal-2013-universal}},cs\_pdt,0,87.66,88.37,88.01,88.07,88.22
UD_Old_Church_Slavonic-PROIEL,cu_proiel,{\small \cite{haug2008creating}},---,37432,65.11,67.15,68.04,67.58,67.28
UD_Welsh-CCG,cy_ccg,{\small \cite{heinecke-tyers-2019-development}},---,16082,74.46,73.86,76.18,76.00,73.81
UD_Danish-DDT,da_ddt,{\small \cite{johannsen2015universal}},---,80378,86.69,86.08,86.50,86.76,86.02
UD_German-GSD,de_gsd,{\small \cite{brants2004tiger}},---,268414,81.69,79.92,81.53,82.05,80.82
UD_German-HDT,de_hdt,{\small \cite{borges-volker-etal-2019-hdt}},---,2753627,96.67,96.58,90.01,94.78,96.60
UD_German-LIT,de_lit,{\small \cite{LIT}},de\_hdt,0,76.88,78.89,79.82,77.84,78.35
