dataset,size,proxy,self,concat,concat.smoothed,sepDec.smoothed,datasetEmbeds.smoothed
UD_Afrikaans-AfriBooms,af_afribooms,{\small \cite{dirix-etal-2017-universal}},---,33894,89.41,88.89,89.26,89.75,88.92
UD_Assyrian-AS,aii_as,{\small \cite{ud_assyrian_as_2019}},et\_ewt,0,24.80,13.91,12.65,17.95,13.24
UD_South_Levantine_Arabic-MADAR,ajp_madar,{\small \cite{Madar}},ar\_padt,0,46.77,49.56,48.58,48.50,46.13
UD_Akkadian-PISANDUB,akk_pisandub,{\small \cite{ud_akkadian_pisandub_2018}},et\_edt,0,19.87,19.04,21.62,21.09,17.69
UD_Akkadian-RIAO,akk_riao,{\small \cite{luukko-etal-2020-akkadian}},et\_edt,0,14.25,19.29,20.20,21.53,19.88
UD_Amharic-ATT,am_att,{\small \cite{seyoum-etal-2018-universal}},et\_ewt,0,3.71,2.89,2.02,1.62,2.80
UD_Apurina-UFPA,apu_ufpa,{\small \cite{freitas2017posse}},fi\_ftb,0,14.69,28.44,29.79,23.94,29.85
UD_Akuntsu-TuDeT,aqz_tudet,{\small \cite{aragon2018variaccoes}},cs\_pdt,0,16.35,28.51,30.61,29.35,36.90
UD_Arabic-PADT,ar_padt,{\small \cite{UD_Arabic-PADT}},---,254400,33.35,33.25,33.20,33.37,33.44
UD_Arabic-PUD,ar_pud,{\small \cite{mcdonald-etal-2013-universal}},ar\_padt,0,72.54,74.21,73.86,74.23,74.28
UD_Belarusian-HSE,be_hse,{\small \cite{ud_belarusian_hse_2017}},---,249897,84.61,86.97,86.66,85.69,87.28
UD_Bulgarian-BTB,bg_btb,{\small \cite{SimOsSimKo2005}},---,124336,95.14,95.44,95.27,95.48,95.45
UD_Bhojpuri-BHTB,bho_bhtb,{\small \cite{ojha-zeman-2020-universal}},hi\_hdtb,0,52.69,51.12,51.75,51.59,51.26
UD_Bambara-CRB,bm_crb,{\small \cite{aplonova_2018}},qhe\_hiencs,0,24.04,28.47,28.88,27.33,28.92
UD_Breton-KEB,br_keb,{\small \cite{tyers-ravishankar-2018-prototype}},fr\_gsd,0,68.55,55.70,55.40,56.34,56.08
UD_Buryat-BDT,bxr_bdt,{\small \cite{badmaeva:2017}},---,153,24.94,45.52,50.11,37.27,45.11
UD_Catalan-AnCora,ca_ancora,{\small \cite{alonso2016universal}},---,418494,93.77,93.94,93.57,93.73,93.91
UD_Chukchi-HSE,ckt_hse,\resizebox{4cm}{!}{\cite{tyers-mishchenkova-2020-dependency}},ru\_syntagrus,0,0.00,0.00,0.00,0.00,0.00
UD_Coptic-Scriptorium,cop_scriptorium,{\small \cite{zeldes-abrams-2018-coptic}},---,35266,1.29,1.29,1.24,1.28,1.36
UD_Czech-CAC,cs_cac,{\small \cite{hladka2008czech}},---,474687,93.41,93.94,93.01,93.01,93.81
UD_Czech-CLTT,cs_cltt,{\small \cite{krivz2016czech}},---,27770,86.30,91.37,90.49,89.58,91.55
UD_Czech-FicTree,cs_fictree,{\small \cite{jelinek2017fictree}},---,134389,93.69,94.86,94.40,94.54,95.00
UD_Czech-PDT,cs_pdt,{\small \cite{bejvcek2013prague}},---,1177406,94.50,94.60,93.39,93.22,94.56
UD_Czech-PUD,cs_pud,{\small \cite{mcdonald-etal-2013-universal}},cs\_pdt,0,91.63,92.30,91.96,92.14,92.15
UD_Old_Church_Slavonic-PROIEL,cu_proiel,{\small \cite{haug2008creating}},---,37432,74.11,75.82,76.25,76.19,75.84
UD_Welsh-CCG,cy_ccg,{\small \cite{heinecke-tyers-2019-development}},---,16082,81.36,81.85,83.26,83.23,81.86
UD_Danish-DDT,da_ddt,{\small \cite{johannsen2015universal}},---,80378,89.09,88.62,88.93,89.10,88.52
UD_German-GSD,de_gsd,{\small \cite{brants2004tiger}},---,268414,86.03,84.94,85.98,86.37,85.24
UD_German-HDT,de_hdt,{\small \cite{borges-volker-etal-2019-hdt}},---,2753627,97.52,97.47,93.84,96.23,97.47
UD_German-LIT,de_lit,{\small \cite{LIT}},de\_hdt,0,84.14,85.36,85.74,85.24,85.34
UD_German-PUD,de_pud,{\small \cite{mcdonald-etal-2013-universal}},de\_hdt,0,85.39,86.90,87.94,85.73,86.95
UD_Greek-GDT,el_gdt,\resizebox{4cm}{!}{\cite{prokopidis-papageorgiou-2017-universal}},---,43440,88.97,90.94,90.88,90.72,91.02
UD_English-EWT,en_ewt,{\small \cite{silveira-etal-2014-gold}},---,207053,89.86,88.18,88.07,89.07,88.36
UD_English-GUM,en_gum,{\small \cite{Zeldes2017}},---,81861,91.77,90.29,90.28,91.71,90.92
UD_English-LinES,en_lines,{\small \cite{ahrenberg-2015-converting}},---,57372,90.66,90.01,90.09,91.38,90.23
UD_English-ParTUT,en_partut,{\small \cite{Sanguinetti2014}},---,43531,92.10,91.84,92.02,92.86,92.22
UD_English-Pronouns,en_pronouns,{\small \cite{munro2020human}},en\_ewt,0,87.63,88.54,90.03,88.40,90.29
UD_English-PUD,en_pud,{\small \cite{mcdonald-etal-2013-universal}},en\_ewt,0,92.00,90.64,90.72,92.32,91.59
UD_Spanish-AnCora,es_ancora,{\small \cite{alonso2016universal}},---,446144,92.58,91.76,91.62,92.40,92.30
UD_Spanish-GSD,es_gsd,{\small \cite{mcdonald-etal-2013-universal}},---,389703,87.96,86.12,86.07,88.10,87.36
UD_Spanish-PUD,es_pud,{\small \cite{mcdonald-etal-2013-universal}},es\_gsd,0,86.04,85.87,85.88,86.24,86.05
UD_Estonian-EDT,et_edt,{\small \cite{muischnek2014estonian}},---,344953,89.39,89.46,88.49,88.57,89.47
UD_Estonian-EWT,et_ewt,{\small \cite{muischnek2019cg}},---,34337,80.14,86.19,85.50,85.07,86.14
UD_Basque-BDT,eu_bdt,{\small \cite{aranzabe2015automatic}},---,72974,86.73,86.00,86.02,86.06,85.96
UD_Persian-PerDT,fa_perdt,{\small \cite{sadegh2020persian}},---,459004,91.52,91.30,87.45,90.53,91.46
UD_Persian-Seraji,fa_seraji,{\small \cite{seraji-etal-2016-universal}},---,122180,90.29,85.63,88.12,89.94,89.40
UD_Finnish-FTB,fi_ftb,{\small \cite{ud_finnish_ftb_2017}},---,127845,91.93,85.62,85.08,91.53,91.63
UD_Finnish-OOD,fi_ood,{\small \cite{ud_finnish_ood_2020}},fi\_tdt,0,82.78,77.14,76.99,82.82,83.12
UD_Finnish-PUD,fi_pud,{\small \cite{mcdonald-etal-2013-universal}},fi\_tdt,0,92.55,89.73,89.32,92.63,92.48
UD_Finnish-TDT,fi_tdt,{\small \cite{pyysalo-etal-2015-universal}},---,163223,91.60,87.18,86.91,91.82,91.66
UD_Faroese-FarPaHC,fo_farpahc,{\small \cite{20.500.12537/92}},---,23099,84.91,89.96,89.50,88.83,90.06
UD_Faroese-OFT,fo_oft,{\small \cite{tyers-etal-2018-multi}},fo\_farpahc,0,59.21,71.11,71.49,72.00,70.32
UD_French-FQB,fr_fqb,{\small \cite{seddah-candito-2016-hard}},fr\_gsd,0,90.49,89.61,89.56,90.24,89.84
UD_French-GSD,fr_gsd,{\small \cite{guillaume2019conversion}},---,364349,90.37,88.57,87.89,90.33,89.95
UD_French-ParTUT,fr_partut,{\small \cite{Sanguinetti2014}},---,24922,89.01,84.31,85.30,89.44,85.33
UD_French-PUD,fr_pud,{\small \cite{mcdonald-etal-2013-universal}},fr\_gsd,0,88.65,87.65,87.78,88.66,88.72
UD_French-Sequoia,fr_sequoia,{\small \cite{bonfante2018application}},---,51877,89.86,88.15,88.89,90.79,88.96
UD_French-Spoken,fr_spoken,{\small \cite{lacheret2019rhapsodie}},---,15423,83.04,86.98,87.87,87.37,86.95
UD_Old_French-SRCMF,fro_srcmf,{\small \cite{stein2013syntactic}},---,136020,92.69,92.00,91.74,91.77,92.04
UD_Irish-IDT,ga_idt,{\small \cite{lynn2016universal}},---,95860,84.67,85.33,85.08,84.93,85.24
UD_Scottish_Gaelic-ARCOSG,gd_arcosg,{\small \cite{batchelor-2019-universal}},---,41307,77.98,78.79,79.35,79.55,78.80
UD_Galician-CTG,gl_ctg,{\small \cite{gomez2017recursos}},---,86676,68.80,68.47,68.24,68.51,68.33
UD_Galician-TreeGal,gl_treegal,{\small \cite{garcia2016universal}},---,16707,70.00,66.52,70.29,72.36,66.11
UD_Gothic-PROIEL,got_proiel,{\small \cite{haug2008creating}},---,35024,81.88,84.73,85.20,84.04,84.73
UD_Ancient_Greek-Perseus,grc_perseus,{\small \cite{bamman2011ancient}},---,159895,67.14,70.64,69.74,69.63,70.71
UD_Ancient_Greek-PROIEL,grc_proiel,{\small \cite{eckhoff2018proiel}},---,187033,77.45,80.23,79.58,78.95,80.37
UD_Swiss_German-UZH,gsw_uzh,{\small \cite{aepli2018parsing}},de\_hdt,0,38.00,51.32,50.39,48.22,51.59
UD_Mbya_Guarani-Thomas,gun_thomas,{\small \cite{thomas-2019-universal}},it\_isdt,0,26.23,29.16,30.25,27.97,29.87
UD_Manx-Cadhan,gv_cadhan,{\small \cite{scannell-2020-universal}},en\_singpar,0,20.01,36.46,37.51,30.23,36.86
UD_Hebrew-HTB,he_htb,{\small \cite{mcdonald-etal-2013-universal}},---,169401,38.17,38.00,38.04,38.10,38.16
UD_Hindi-HDTB,hi_hdtb,{\small \cite{palmer2009hindi}},---,281057,95.29,95.10,94.97,95.11,95.14
UD_Hindi-PUD,hi_pud,{\small \cite{mcdonald-etal-2013-universal}},hi\_hdtb,0,72.68,73.06,72.68,72.92,73.00
UD_Croatian-SET,hr_set,{\small \cite{agic-ljubesic-2015-universal}},---,152857,92.48,93.49,93.05,93.20,93.42
UD_Upper_Sorbian-UFAL,hsb_ufal,{\small \cite{UD_Upper_Sorbian-UFAL}},---,460,20.32,68.96,73.78,70.12,68.62
UD_Hungarian-Szeged,hu_szeged,{\small \cite{vincze-etal-2010-hungarian}},---,20166,86.96,88.51,88.81,89.19,88.72
UD_Armenian-ArmTDP,hy_armtdp,{\small \cite{yavrumyan2017armtdp}},---,42373,80.67,82.44,82.60,82.29,82.05
UD_Indonesian-CSUI,id_csui,{\small \cite{alfina2020tree}},---,18540,81.85,82.01,83.24,83.78,81.99
UD_Indonesian-GSD,id_gsd,{\small \cite{mcdonald-etal-2013-universal}},---,97531,86.39,86.22,85.90,86.05,86.45
UD_Indonesian-PUD,id_pud,{\small \cite{mcdonald-etal-2013-universal}},id\_gsd,0,77.52,79.26,79.31,78.91,79.27
UD_Icelandic-IcePaHC,is_icepahc,{\small \cite{rognvaldsson-etal-2012-icelandic}},---,706791,87.28,87.21,84.70,84.38,87.24
UD_Icelandic-PUD,is_pud,{\small \cite{jonsdottir-ingason-2020-creating}},is\_icepahc,0,71.13,72.55,72.43,72.43,72.61
UD_Italian-ISDT,it_isdt,{\small \cite{bosco2014evalita}},---,294430,82.73,82.81,82.69,82.65,82.96
UD_Italian-ParTUT,it_partut,{\small \cite{Sanguinetti2014}},---,52390,81.27,82.72,82.61,82.91,82.70
UD_Italian-PoSTWITA,it_postwita,{\small \cite{sanguinetti-etal-2018-postwita}},---,103555,78.54,79.31,79.20,79.32,79.06
UD_Italian-PUD,it_pud,{\small \cite{mcdonald-etal-2013-universal}},it\_isdt,0,82.82,82.99,82.98,83.16,83.15
UD_Italian-TWITTIRO,it_twittiro,{\small \cite{cignarella-etal-2019-presenting}},---,24610,78.42,82.04,81.84,81.90,81.36
UD_Italian-VIT,it_vit,{\small \cite{alfieri2016almost}},---,241304,81.59,81.55,81.17,81.83,81.88
UD_Japanese-GSD,ja_gsd,{\small \cite{asahara-etal-2018-universal}},---,167482,94.56,94.23,93.94,93.96,94.15
UD_Japanese-Modern,ja_modern,{\small \cite{omura2017universal}},ja\_gsd,0,71.44,73.47,72.89,72.31,73.22
UD_Japanese-PUD,ja_pud,{\small \cite{mcdonald-etal-2013-universal}},ja\_gsd,0,95.27,95.41,95.31,95.38,95.32
UD_Khunsari-AHA,kfm_aha,{\small \cite{ud_khunsari_aha_2020}},fa\_perdt,0,34.69,34.23,35.13,37.39,40.09
UD_Kazakh-KTB,kk_ktb,{\small \cite{makazhan_tl2015}},---,547,36.35,68.19,70.37,66.87,68.16
UD_Kurmanji-MG,kmr_mg,{\small \cite{gokirmak-tyers-2017-dependency}},---,242,20.98,32.20,48.23,39.54,32.26
